official_path,category,format,label_or_source,local_status,bytes,sha256
Edge-IIoTset dataset/Attack traffic/Backdoor_attack.csv,raw_attack,csv,Backdoor,verified_extracted,17889603,a3da7bfd919c5f238e5c721cbd0e24a0b2b717d7f231c87c3bc9bc083582295b
Edge-IIoTset dataset/Attack traffic/Backdoor_attack.pcap,raw_attack,pcap,Backdoor,verified_extracted,6694092,2f22c751442017f745397d517df9837da378362f670ad238faeac0decd58e3e9
Edge-IIoTset dataset/Attack traffic/DDoS HTTP Flood Attacks.pcap,raw_attack,pcap,DDoS_HTTP,verified_extracted,28307602,2fb2558d51defd1704a54a7a76df787048e9281d2efd8177703d66a7f78620ba
Edge-IIoTset dataset/Attack traffic/DDoS ICMP Flood Attacks.pcap,raw_attack,pcap,DDoS_ICMP,verified_extracted,212434878,1152be31c21b9b0f146eaef63ede8092946ebe999a91935f557c5083b490e30b
Edge-IIoTset dataset/Attack traffic/DDoS TCP SYN Flood Attacks.pcap,raw_attack,pcap,DDoS_TCP,verified_extracted,282613890,5fa4d774b6b03c160e2c4c619c79ca55c5a673581c5c40d6f46350f50d55ae80
Edge-IIoTset dataset/Attack traffic/DDoS UDP Flood Attacks.pcap,raw_attack,pcap,DDoS_UDP,verified_extracted,247560012,6de0341f27093cac8a5eba657b8a49ecbac4dd5bf6c452a6274472df69172ce5
Edge-IIoTset dataset/Attack traffic/DDoS_HTTP_Flood_attack.csv,raw_attack,csv,DDoS_HTTP,verified_extracted,95709749,526ef4221d74c046d35db948e7aa534f2660270321510726f312409d6036ca33
Edge-IIoTset dataset/Attack traffic/DDoS_ICMP_Flood_attack.csv,raw_attack,csv,DDoS_ICMP,verified_extracted,892080000,bd3a180a18e331976b1e320aa0def408fa9adeff002035758cd2d3e36f25d325
Edge-IIoTset dataset/Attack traffic/DDoS_TCP_SYN_Flood_attack.csv,raw_attack,csv,DDoS_TCP,verified_extracted,941188405,623e8a331af6412b002a6ee18df1fb914d026de4906bdebdc3d29890487283e1
Edge-IIoTset dataset/Attack traffic/DDoS_UDP_Flood_attack.csv,raw_attack,csv,DDoS_UDP,verified_extracted,900233551,62dcd279cd2068d2f7055028fd823dfec526bd6167a5b6180eca460e1b5c9333
Edge-IIoTset dataset/Attack traffic/MITM (ARP spoofing + DNS) Attack.pcap,raw_attack,pcap,MITM,verified_extracted,127852,ef952aff57dd30f04a98511cae2f34f642a64720fcde31df8b2f6dcf0351d536
Edge-IIoTset dataset/Attack traffic/MITM_attack.csv,raw_attack,csv,MITM,verified_extracted,329947,c4fd9f0d33c1bcbf37a0c4e0cc378157d6af650300e657340ae3d86b40cfd498
Edge-IIoTset dataset/Attack traffic/OS Fingerprinting attack.pcap,raw_attack,pcap,Fingerprinting,verified_extracted,114041,68c0464ac92f1d08a050f4e013dd5e0d0e870f39b8f70f26acde133b6d7e00c4
Edge-IIoTset dataset/Attack traffic/OS_Fingerprinting_attack.csv,raw_attack,csv,Fingerprinting,verified_extracted,311171,b2dc428e1b5159ccbfff0e252b5fb096cd5c67fecca169f348a8d30342088613
Edge-IIoTset dataset/Attack traffic/Password attacks.pcap,raw_attack,pcap,Password,verified_extracted,194557494,5e2393acebb92806205eb87bff5dd82cdece3cd183e760b1cf737ed1c8a663c2
Edge-IIoTset dataset/Attack traffic/Password_attack.csv,raw_attack,csv,Password,verified_extracted,653290138,e8458c89e71706226ecd9d3730e3b0db5ae2d5f3fb87655fccf1d6e5f1730eba
Edge-IIoTset dataset/Attack traffic/Port Scanning attack.pcap,raw_attack,pcap,Port_Scanning,verified_extracted,1801807,9fa4c8527951c2ea935b1ae5e932063c1b7fb8cc1e2b0f24defbe3a7b99058d9
