capture,label,idle_seconds,sessions,packets,packet_min,packet_median,packet_p95,packet_max,bidirectional_ratio,coverage_ge_8,coverage_ge_16,coverage_ge_32,incomplete_handshake_ratio,missing_initiator_ratio,missing_target_port_ratio
Normal_Heart_Rate,Normal,30,10632,170435,1.0,18.0,18.0,203.0,0.9851392024078255,0.9799661399548533,0.6856659142212189,0.00018811136192626034,0.0,0.0,0.018717080511662904
Normal_Heart_Rate,Normal,60,10575,170435,1.0,18.0,18.0,203.0,0.9851536643026004,0.985531914893617,0.6895508274231679,0.0003782505910165485,0.0,0.0,0.013522458628841608
Scanning_Port,Port_Scanning,30,11065,23329,1.0,2.0,2.0,329.0,0.9201988251242657,0.004066877541798464,0.002169001355625847,0.0016267510167193855,0.9025756891098057,0.0,0.0859466787166742
Scanning_Port,Port_Scanning,60,10943,23329,1.0,2.0,2.0,1157.0,0.9221420085899662,0.0020104176185689483,0.001279356666362058,0.0009138261902586129,0.9126382162112766,0.0,0.07831490450516312
Injection_SQL,SQL_injection,30,4442,51228,1.0,11.0,14.0,19.0,0.9891940567312022,0.979963980189104,0.0036019810895992796,0.0,0.0,0.0,0.01125619090499775
Injection_SQL,SQL_injection,60,4439,51228,1.0,11.0,14.0,19.0,0.9894120297364272,0.9806262671772922,0.003604415408875873,0.0,0.0,0.0,0.010813246226627618
MITM,MITM,30,286,1229,1.0,1.0,17.75,120.0,0.04195804195804196,0.1048951048951049,0.06993006993006994,0.027972027972027972,0.0,0.0,0.6223776223776224
MITM,MITM,60,245,1229,1.0,1.0,22.0,120.0,0.04897959183673469,0.11836734693877551,0.08979591836734693,0.0326530612244898,0.0,0.0,0.5836734693877551
Malware_Backdoor,Backdoor,30,1532,24914,1.0,2.0,2.0,12411.0,0.6409921671018277,0.0045691906005221935,0.0026109660574412533,0.0019582245430809398,0.5398172323759791,0.0,0.39882506527415146
Malware_Backdoor,Backdoor,60,1455,24914,1.0,2.0,2.0,12411.0,0.6219931271477663,0.004123711340206186,0.0027491408934707906,0.002061855670103093,0.5683848797250859,0.0,0.3670103092783505
Malware_Ransomware,Ransomware,30,1546,11030,1.0,2.0,2.0,5963.0,0.4935316946959897,0.00646830530401035,0.004527813712807244,0.00129366106080207,0.36869340232858994,0.0,0.5892626131953428
Malware_Ransomware,Ransomware,60,1386,11030,1.0,1.0,2.0,5963.0,0.43506493506493504,0.0036075036075036075,0.0036075036075036075,0.0036075036075036075,0.41125541125541126,0.0,0.5418470418470418
DDoS_HTTP,DDoS_HTTP,30,18747,229142,1.0,6.0,59.0,89.0,0.30794260414999736,0.24622606283672055,0.21443430948951833,0.12748706459700218,0.6835226969648477,0.0,0.0013868885688376807
DDoS_HTTP,DDoS_HTTP,60,12147,229142,1.0,7.0,62.0,89.0,0.3815756977031366,0.37943525150242857,0.3560549930023874,0.19683872561126203,0.6163661809500288,0.0,0.0018111467852144562
