instance,raw_technique_id,parent_technique_id_v19_1,label_record_count,doubt_record_count,relation_linked_record_count,has_relation_file
aeriella,T1033,T1033,1,0,0,False
aeriella,T1057,T1057,1,0,0,False
aeriella,T1069,T1069,1,0,0,False
aerien,T1016,T1016,10,0,2,True
aerien,T1018,T1018,2,0,0,True
aerien,T1021,T1021,2,0,0,True
aerien,T1033,T1033,6,0,0,True
aerien,T1046,T1046,34,0,10,True
aerien,T1057,T1057,3,0,0,True
aerien,T1069,T1069,1,0,0,True
aerien,T1082,T1082,1,0,1,True
aerien,T1083,T1083,1,0,0,True
aerien,T1105,T1105,2,0,0,True
aerien,T1518,T1518,1,0,0,True
aerien,T1595,T1595,27,27,3,True
aerien,T1613,T1613,1,0,0,True
amusanthe,T1021,T1021,3,0,0,False
amusanthe,T1033,T1033,2,0,0,False
amusanthe,T1046,T1046,3,0,0,False
amusanthe,T1057,T1057,5,0,0,False
amusanthe,T1069,T1069,1,0,0,False
amusanthe,T1082,T1082,1,0,0,False
amusanthe,T1083,T1083,27,0,0,False
amusanthe,T1098,T1098,1,0,0,False
amusanthe,T1105,T1105,1,0,0,False
amusanthe,T1518,T1518,1,0,0,False
amusanthe,T1548,T1548,2,0,0,False
amusanthe,T1587,T1587,1,0,0,False
arcade,T1033,T1033,1,0,0,False
arcade,T1046,T1046,2,0,0,False
arcade,T1548,T1548,1,0,0,False
arcade,T1595,T1595,2,2,0,False
arthur,T1021,T1021,2,0,0,True
arthur,T1033,T1033,4,0,0,True
arthur,T1040,T1040,1,0,0,True
arthur,T1046,T1046,19,0,16,True
arthur,T1049,T1049,2,0,0,True
arthur,T1057,T1057,5,0,0,True
arthur,T1078,T1078,1,0,0,True
arthur,T1083,T1083,4,0,0,True
arthur,T1518,T1518,3,0,0,True
arthur,T1548,T1548,1,0,0,True
arthur,T1595,T1595,10,10,9,True
arthur,T1613,T1613,1,0,0,True
arthur,T1654,T1654,3,0,0,True
astral,T1033,T1033,1,0,0,False
astral,T1046,T1046,1,0,0,False
aventure,T1033,T1033,1,0,0,False
aventure,T1548,T1548,2,0,0,False
bonjour,T1018,T1018,5,0,0,True
bonjour,T1021,T1021,3,0,0,True
bonjour,T1033,T1033,3,0,0,True
bonjour,T1046,T1046,6,0,2,True
bonjour,T1057,T1057,3,0,0,True
bonjour,T1069,T1069,1,0,0,True
bonjour,T1078,T1078,1,0,0,True
bonjour,T1083,T1083,1,0,0,True
bonjour,T1518,T1518,1,0,0,True
bonjour,T1595,T1595,7,7,1,True
brillant,T1011,T1011,3,0,0,True
brillant,T1016,T1016,2,0,1,True
brillant,T1018,T1018,1,0,0,True
brillant,T1021,T1021,18,0,0,True
brillant,T1033,T1033,22,0,0,True
brillant,T1046,T1046,23,0,13,True
brillant,T1049,T1049,5,0,0,True
brillant,T1057,T1057,2,0,0,True
brillant,T1068,T1068,2,0,0,True
brillant,T1069,T1069,5,0,0,True
brillant,T1070,T1070,2,0,0,True
brillant,T1078,T1078,1,0,0,True
brillant,T1082,T1082,1,0,0,True
brillant,T1083,T1083,42,0,0,True
brillant,T1105,T1105,2,0,0,True
brillant,T1110,T1110,1,0,0,True
brillant,T1114,T1114,11,0,0,True
brillant,T1125,T1125,10,0,6,True
brillant,T1219,T1219,1,0,1,True
brillant,T1222,T1222,1,0,0,True
brillant,T1518,T1518,1,0,0,True
brillant,T1567,T1567,1,0,0,True
brillant,T1570,T1570,4,0,0,True
brillant,T1587,T1587,2,0,0,True
brillant,T1595,T1595,12,12,7,True
brillant,T1613,T1613,1,0,0,True
captivant,T1033,T1033,1,0,0,False
captivant,T1518,T1518,1,0,0,False
chateau,T1033,T1033,3,0,0,True
chateau,T1057,T1057,1,0,0,True
chateau,T1082,T1082,4,0,3,True
chateau,T1083,T1083,1,0,0,True
chateau,T1105,T1105,1,0,0,True
chateau,T1222,T1222,1,0,0,True
chateau,T1518,T1518,1,0,0,True
coriandre,T1007,T1007,5,0,0,False
coriandre,T1016,T1016,2,0,0,False
coriandre,T1018,T1018,2,0,0,False
coriandre,T1021,T1021,1,0,0,False
coriandre,T1033,T1033,4,0,0,False
coriandre,T1046,T1046,7,0,0,False
coriandre,T1049,T1049,1,0,0,False
coriandre,T1057,T1057,3,0,0,False
coriandre,T1069,T1069,2,0,0,False
coriandre,T1078,T1078,1,0,0,False
coriandre,T1082,T1082,5,0,0,False
coriandre,T1083,T1083,15,0,0,False
coriandre,T1087,T1087,6,0,0,False
coriandre,T1105,T1105,1,0,0,False
coriandre,T1518,T1518,5,0,0,False
coriandre,T1548,T1548,1,0,0,False
coriandre,T1552,T1552,3,0,0,False
coriandre,T1555,T1555,2,0,0,False
coriandre,T1595,T1595,1,1,0,False
coriandre,T1613,T1613,6,0,0,False
cosmique,T1021,T1021,1,0,0,False
cosmique,T1033,T1033,1,0,0,False
cosmique,T1068,T1068,1,0,0,False
cosmique,T1078,T1078,1,0,0,False
cosmique,T1083,T1083,1,0,0,False
cosmique,T1114,T1114,1,0,0,False
cosmique,T1570,T1570,1,0,0,False
courageux,T1018,T1018,2,0,0,False
courageux,T1033,T1033,3,0,0,False
courageux,T1049,T1049,1,0,0,False
courageux,T1057,T1057,7,0,0,False
courageux,T1083,T1083,10,0,0,False
courageux,T1098,T1098,1,0,0,False
courageux,T1548,T1548,4,0,0,False
coyote,T1033,T1033,4,0,0,False
coyote,T1069,T1069,1,0,0,False
deliria,T1018,T1018,2,0,2,True
deliria,T1021,T1021,12,0,2,True
deliria,T1033,T1033,9,0,0,True
deliria,T1046,T1046,12,0,2,True
deliria,T1049,T1049,6,0,0,True
deliria,T1057,T1057,20,0,0,True
deliria,T1069,T1069,1,0,0,True
deliria,T1078,T1078,4,0,0,True
deliria,T1082,T1082,1,0,0,True
deliria,T1083,T1083,13,0,0,True
deliria,T1125,T1125,2,0,0,True
deliria,T1133,T1133,1,0,0,True
deliria,T1518,T1518,2,0,0,True
deliria,T1572,T1572,1,0,1,True
deliria,T1595,T1595,2,2,2,True
deliria,T1613,T1613,5,0,0,True
deliria,T1654,T1654,1,0,0,True
devinette,T1021,T1021,7,0,0,False
devinette,T1033,T1033,12,0,0,False
devinette,T1046,T1046,1,0,0,False
devinette,T1068,T1068,3,0,0,False
devinette,T1069,T1069,2,0,0,False
devinette,T1082,T1082,1,0,0,False
devinette,T1083,T1083,1,0,0,False
devinette,T1098,T1098,2,0,0,False
devinette,T1105,T1105,2,0,0,False
devinette,T1114,T1114,11,0,0,False
devinette,T1222,T1222,2,0,0,False
devinette,T1518,T1518,1,0,0,False
devinette,T1548,T1548,9,0,0,False
devinette,T1550,T1550,1,0,0,False
devinette,T1567,T1567,1,0,0,False
dimension,T1007,T1007,1,0,0,True
dimension,T1018,T1018,1,0,1,True
dimension,T1033,T1033,2,0,0,True
dimension,T1046,T1046,3,0,0,True
dimension,T1083,T1083,6,0,0,True
dimension,T1592,T1592,1,0,0,True
dimension,T1595,T1595,3,3,1,True
dimension,T1613,T1613,1,0,0,True
donald,T1003,T1003,1,0,0,True
donald,T1005,T1005,1,0,0,True
donald,T1033,T1033,5,0,0,True
donald,T1046,T1046,3,0,1,True
donald,T1049,T1049,2,0,0,True
donald,T1057,T1057,3,0,0,True
donald,T1069,T1069,2,0,0,True
donald,T1082,T1082,1,0,1,True
donald,T1083,T1083,2,0,0,True
donald,T1087,T1087,1,0,0,True
donald,T1105,T1105,1,0,0,True
donald,T1548,T1548,1,0,0,True
donald,T1595,T1595,1,1,0,True
dragon,T1018,T1018,1,0,0,False
dragon,T1021,T1021,5,0,0,False
dragon,T1033,T1033,7,0,0,False
dragon,T1046,T1046,2,0,0,False
dragon,T1049,T1049,5,0,0,False
dragon,T1057,T1057,6,0,0,False
dragon,T1069,T1069,3,0,0,False
dragon,T1082,T1082,3,0,0,False
dragon,T1083,T1083,4,0,0,False
dragon,T1548,T1548,1,0,0,False
dragon,T1595,T1595,1,1,0,False
dragon,T1613,T1613,3,0,0,False
dragon,T1654,T1654,1,0,0,False
dynamique,T1083,T1083,1,0,0,False
dynamique,T1548,T1548,1,0,0,False
dynamique,T1654,T1654,1,0,0,False
eblouiria,T1033,T1033,1,0,0,False
eblouiria,T1057,T1057,1,0,0,False
eblouiria,T1069,T1069,1,0,0,False
eblouiria,T1070,T1070,1,0,0,False
eclairant,T1005,T1005,2,0,0,True
eclairant,T1007,T1007,1,0,0,True
eclairant,T1016,T1016,1,0,0,True
eclairant,T1018,T1018,16,0,5,True
eclairant,T1021,T1021,15,0,2,True
eclairant,T1033,T1033,15,0,0,True
eclairant,T1046,T1046,39,0,13,True
eclairant,T1049,T1049,3,0,0,True
eclairant,T1069,T1069,2,0,0,True
eclairant,T1078,T1078,2,0,0,True
eclairant,T1082,T1082,2,0,0,True
eclairant,T1083,T1083,1,0,0,True
eclairant,T1105,T1105,2,0,0,True
eclairant,T1114,T1114,2,0,0,True
