dataset,source,retrieval_time,file_name,file_size_bytes,sha256,official_or_secondary,purpose,download_status,notes
DataSense,https://www.unb.ca/cic/datasets/iiot-dataset-2025.html,2026-08-04T23:34:00+08:00,iiot-dataset-2025.html,79597,E4F4C110E2F52A8384E94323D6842A799D08591A1360BAFDF2368B7138EDD3A6,official,Dataset description and attack taxonomy,inspected_remote,Hash is of UTF-8 encoded HTTP response body; page not retained
DataSense,https://cicresearch.ca/IOTDataset/Datasense/,2026-08-04T23:34:00+08:00,Datasense download form HTML,10535,6DF6A49B408A057AC2E43FCB76D8745E92CE40AB7500D66D5FCBF6D95C35A67E,official,Inspect official download entry,inspected_remote,Registration form accessible; page not retained
DataSense,https://cicresearch.ca/IOTDataset/Datasense/browse.php,2026-08-04T23:34:00+08:00,browse.php,UNKNOWN,UNKNOWN,official,Inspect file tree and metadata,blocked_http_403,No form submission or permission bypass attempted
DataSense,https://mdpi-res.com/d_attachment/electronics/electronics-14-04095/article_deploy/electronics-14-04095-v2.pdf,2026-08-04T23:34:00+08:00,datasense_official_paper.pdf,8960775,528C7C053AA04D161B4112B4918784B60922C9BD6F79D054DA60E9C82A437B86,official,Original paper collection and schema evidence,downloaded_temp_then_deleted,Only downloaded artifact; no dataset archive downloaded
CICIoMT2024,https://www.unb.ca/cic/datasets/iomt-dataset-2024.html,2026-08-04T23:34:00+08:00,iomt-dataset-2024.html,89591,79E2CEA7C98E7D8A09472C07A2D80F934D39C2E4659270FD90B7A7D40555A4CA,official,Dataset directories attack taxonomy and feature description,inspected_remote,Hash is of UTF-8 encoded HTTP response body; page not retained
CICIoMT2024,https://cicresearch.ca/IOTDataset/CICIoMT2024/,2026-08-04T23:34:00+08:00,CICIoMT2024 download form HTML,10535,6DF6A49B408A057AC2E43FCB76D8745E92CE40AB7500D66D5FCBF6D95C35A67E,official,Inspect official download entry,inspected_remote,Registration form accessible; page not retained
CICIoMT2024,https://cicresearch.ca/IOTDataset/CICIoMT2024/browse.php,2026-08-04T23:34:00+08:00,browse.php,UNKNOWN,UNKNOWN,official,Inspect file tree PCAP counts and metadata,blocked_http_403,No form submission or permission bypass attempted
CICIoMT2024,https://www.preprints.org/manuscript/202402.0898,2026-08-04T23:34:00+08:00,author_preprint_v1.html,UNKNOWN,UNKNOWN,official_author,Collection methodology train-test and feature extraction evidence,inspected_remote,Accessible through web reader; local HTTP client denied so no local hash
CICIoMT2024,https://www.preprints.org/manuscript/202402.0898/v1/download,2026-08-04T23:34:00+08:00,author_preprint_v1.pdf,UNKNOWN,UNKNOWN,official_author,Visual and textual corroboration,inspected_remote_not_downloaded,Web reader exposed 30-page PDF; local HEAD returned HTTP 403
CICIoMT2024,https://doi.org/10.1016/j.iot.2024.101351,2026-08-04T23:34:00+08:00,peer_reviewed_article,UNKNOWN,UNKNOWN,official_publisher,Peer-reviewed paper identity and abstract,inspected_remote,Publisher page accessible through search index but direct full-page fetch returned HTTP 403
