dataset,protocol_or_source,coarse_class,fine_class,official_label_status,network_observability,independent_run_count,evidence_grade,known_20_gate,u_dev_12_gate,u_final_15_gate,notes
DataSense,Network,DDoS,Ack Fragmentation Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,Official packet and log totals are not run counts
DataSense,Network,DDoS,Connect Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DDoS,HTTP Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DDoS,ICMP Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DDoS,ICMP Fragmentation Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DDoS,MQTT Publish Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DDoS,PSHACK Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DDoS,RSTFIN Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DDoS,Slowloris,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DDoS,TCP SYN Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DDoS,Synonymous IP Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DDoS,TCP Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DDoS,UDP Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DDoS,UDP Fragmentation Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DoS,Ack Fragmentation Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,Official packet and log totals are not run counts
DataSense,Network,DoS,Connect Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DoS,HTTP Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DoS,ICMP Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DoS,ICMP Fragmentation Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DoS,MQTT Publish Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DoS,PSHACK Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DoS,RSTFIN Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DoS,Slowloris,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DoS,TCP SYN Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DoS,Synonymous IP Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DoS,TCP Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DoS,UDP Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,DoS,UDP Fragmentation Flood,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,Recon,Host Discovery ARP Ping,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,Recon,Host Discovery TCP ACK Ping,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,Recon,Host Discovery TCP SYN Ping,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,Recon,Host Discovery TCP SYN Stealth,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,Recon,Host Discovery UDP Ping,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,Recon,OS Scan,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,Recon,Ping Sweep,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
DataSense,Network,Recon,Port Scan,CONFIRMED_B,CLEAR,UNKNOWN,B,BLOCKED,BLOCKED,BLOCKED,No repeated execution count or manifest
