instance,relation_id,technique,observability_category,doubt,selected_rule,selected_hit_count,anomaly_candidate_hits,relation_raw,system_label_raw,candidate_flow,time_delta_ms,direction,relation_ips_ports,neighbor_flows,automatic_judgement_not_gold,human_question,human_decision,human_selected_flow_ids,reviewer,reviewed_at,review_notes
aerien,25d0a6e55cf742329797f1063bf7f3ec,T1595,B,True,R5,0,0,"{""id"":""25d0a6e55cf742329797f1063bf7f3ec"",""event_uids"":[""89935-start""],""instance_name"":""aerien"",""query"":""any where log_file : \""flows.log\"" and instance_name == \""aerien\"" and string(src_ip) like \""10.35.*.10\"" and cidrMatch(dst_ip, \""10.35.180.10/24\"") and timestamp >= \""2024-05-17 23:57:35.806\"" and timestamp <= \""2024-05-17 23:57:51.875\"""",""data"":{""src_ip"":""10.35.*.10"",""dst_ip"":""10.35.180.10/24"",""src_port"":"""",""dst_port"":"""",""start_time"":""2024-05-17 23:57:35.806"",""end_time"":""2024-05-17 23:57:51.875""},""labelled_by"":[[""auto-cidr"",""12/09/2024 8:00:00""]],""rejected_by"":[]}","{""id"":""d91739509601457895be84f0cf204986"",""technique"":""T1595: Active Scanning"",""event_uids"":[""89935-start""],""instance_name"":""aerien"",""explanation"":"""",""doubt"":true,""labelled_by"":[[""auto-triggers"",""12/09/2024 8:00:00""]],""rejected_by"":[]}",,,,"{""src_ip"":""10.35.*.10"",""dst_ip"":""10.35.180.10/24"",""src_port"":"""",""dst_port"":"""",""start_time"":""2024-05-17 23:57:35.806"",""end_time"":""2024-05-17 23:57:51.875""}","[{""row"":293947,""ts"":""2024-05-17T23:57:35.816000"",""src"":""10.35.180.10"",""dst"":""10.35.180.1"",""sp"":52390,""dp"":80},{""row"":293948,""ts"":""2024-05-17T23:57:35.817000"",""src"":""10.35.180.1"",""dst"":""10.35.180.10"",""sp"":80,""dp"":52390},{""row"":293949,""ts"":""2024-05-17T23:57:35.917000"",""src"":""10.35.180.10"",""dst"":""10.35.180.20"",""sp"":35686,""dp"":80}]",R5：自动规则未命中；异常诊断候选不得用于训练。,relation是否存在地址/时间/成员错误，还是确实无对应Flow？,,,,,
aerien,34398c558b564ff1b8633b05c876eff9,T1016,D,False,R5,0,0,"{""id"":""34398c558b564ff1b8633b05c876eff9"",""event_uids"":[""97047-start""],""instance_name"":""aerien"",""query"":""any where log_file : \""flows.log\"" and instance_name == \""aerien\"" and string(src_ip) like \""10.35.*.10\"" and string(dst_ip) like \""10.35.180.30\"" and string(dst_port) like \""10\"" and timestamp >= \""2024-05-18 00:01:09.452\"" and timestamp <= \""2024-05-18 00:01:16.796\"""",""data"":{""src_ip"":""10.35.*.10"",""dst_ip"":""10.35.180.30"",""src_port"":"""",""dst_port"":""10"",""start_time"":""2024-05-18 00:01:09.452"",""end_time"":""2024-05-18 00:01:16.796""},""labelled_by"":[[""auto-ip-space-port"",""12/09/2024 8:00:00""]],""rejected_by"":[]}","{""id"":""1031fc57c6b34810aa48676668907a91"",""technique"":""T1016: System Network Configuration Discovery"",""event_uids"":[""97047-start""],""instance_name"":""aerien"",""explanation"":"""",""doubt"":false,""labelled_by"":[[""validation1"",""2025-02-27 13:49:28""]],""rejected_by"":[]}",,,,"{""src_ip"":""10.35.*.10"",""dst_ip"":""10.35.180.30"",""src_port"":"""",""dst_port"":""10"",""start_time"":""2024-05-18 00:01:09.452"",""end_time"":""2024-05-18 00:01:16.796""}","[{""row"":307630,""ts"":""2024-05-18T00:01:09.458000"",""src"":""10.35.180.10"",""dst"":""10.35.180.31"",""sp"":48530,""dp"":53},{""row"":307631,""ts"":""2024-05-18T00:01:09.458000"",""src"":""10.35.180.31"",""dst"":""10.35.180.10"",""sp"":53,""dp"":48530},{""row"":307632,""ts"":""2024-05-18T00:01:09.460000"",""src"":""10.35.180.10"",""dst"":""10.35.180.31"",""sp"":48530,""dp"":53}]",R5：自动规则未命中；异常诊断候选不得用于训练。,relation是否存在地址/时间/成员错误，还是确实无对应Flow？,,,,,
deliria,08ed2e149f884a70b0dfdb876ba28cfd,T1018,B,False,R5,0,0,"{""id"":""08ed2e149f884a70b0dfdb876ba28cfd"",""event_uids"":[""45147-start""],""instance_name"":""deliria"",""query"":""any where log_file : \""flows.log\"" and instance_name == \""deliria\"" and string(src_ip) like \""10.35.*.10\"" and string(dst_ip) like \""0.35.118.255\"" and timestamp >= \""2024-05-18 01:29:13.472\"" and timestamp <= \""2024-05-18 01:29:31.381\"""",""data"":{""src_ip"":""10.35.*.10"",""dst_ip"":""0.35.118.255"",""src_port"":"""",""dst_port"":"""",""start_time"":""2024-05-18 01:29:13.472"",""end_time"":""2024-05-18 01:29:31.381""},""labelled_by"":[[""auto-web-ip"",""12/09/2024 8:00:00""]],""rejected_by"":[]}","{""id"":""b68d279c5dec453d96f7e1dc8a808ffa"",""technique"":""T1018: Remote System Discovery"",""event_uids"":[""45147-start""],""instance_name"":""deliria"",""explanation"":"""",""doubt"":false,""labelled_by"":[[""auto-triggers"",""12/09/2024 8:00:00""]],""rejected_by"":[]}",,,,"{""src_ip"":""10.35.*.10"",""dst_ip"":""0.35.118.255"",""src_port"":"""",""dst_port"":"""",""start_time"":""2024-05-18 01:29:13.472"",""end_time"":""2024-05-18 01:29:31.381""}","[{""row"":279264,""ts"":""2024-05-18T01:29:15.690000"",""src"":""139.99.1.148"",""dst"":""10.35.118.10"",""sp"":0,""dp"":8},{""row"":279265,""ts"":""2024-05-18T01:29:15.690000"",""src"":""10.35.118.10"",""dst"":""139.99.1.148"",""sp"":0,""dp"":0},{""row"":279266,""ts"":""2024-05-18T01:29:16.010000"",""src"":""10.135.118.10"",""dst"":""92.222.186.1"",""sp"":0,""dp"":0}]",R5：自动规则未命中；异常诊断候选不得用于训练。,relation是否存在地址/时间/成员错误，还是确实无对应Flow？,,,,,
deliria,68c2453b162341a0a475f20483d02f93,T1021,C,False,R5,0,0,"{""id"":""68c2453b162341a0a475f20483d02f93"",""event_uids"":[""45957-start""],""instance_name"":""deliria"",""query"":""any where log_file : \""flows.log\"" and instance_name == \""deliria\"" and string(src_ip) like \""10.35.*.10\"" and string(dst_ip) like \""10.35.118.11\"" and string(dst_port) like \""5000\"" and timestamp >= \""2024-05-18 01:55:44.855\"" and timestamp <= \""2024-05-18 02:00:18.810\"""",""data"":{""src_ip"":""10.35.*.10"",""dst_ip"":""10.35.118.11"",""src_port"":"""",""dst_port"":""5000"",""start_time"":""2024-05-18 01:55:44.855"",""end_time"":""2024-05-18 02:00:18.810""},""labelled_by"":[[""auto-ip-port"",""12/09/2024 8:00:00""]],""rejected_by"":[]}","{""id"":""89a00a86f307499ea86333bde9760d41"",""technique"":""T1021: Remote Services"",""event_uids"":[""45957-start""],""instance_name"":""deliria"",""explanation"":"""",""doubt"":false,""labelled_by"":[[""auto-triggers"",""12/09/2024 8:00:00""]],""rejected_by"":[]}",,,,"{""src_ip"":""10.35.*.10"",""dst_ip"":""10.35.118.11"",""src_port"":"""",""dst_port"":""5000"",""start_time"":""2024-05-18 01:55:44.855"",""end_time"":""2024-05-18 02:00:18.810""}","[{""row"":282798,""ts"":""2024-05-18T01:55:44.861000"",""src"":""10.35.118.10"",""dst"":""10.35.118.11"",""sp"":56108,""dp"":22},{""row"":282799,""ts"":""2024-05-18T01:55:44.862000"",""src"":""10.35.118.11"",""dst"":""10.35.118.10"",""sp"":22,""dp"":56108},{""row"":282800,""ts"":""2024-05-18T01:55:44.865000"",""src"":""10.35.118.10"",""dst"":""10.35.118.11"",""sp"":56108,""dp"":22}]",R5：自动规则未命中；异常诊断候选不得用于训练。,relation是否存在地址/时间/成员错误，还是确实无对应Flow？,,,,,
aerien,39dba3ea16274cec8131852ee4de316d,T1046,B,False,R5,0,0,"{""id"":""39dba3ea16274cec8131852ee4de316d"",""event_uids"":[""62473-start""],""instance_name"":""aerien"",""query"":""any where log_file : \""flows.log\"" and instance_name == \""aerien\"" and string(src_ip) like \""10.35.*.10\"" and cidrMatch(dst_ip, \""10.35.180.10/24\"") and timestamp >= \""2024-05-17 23:57:13.940\"" and timestamp <= \""2024-05-17 23:57:35.806\"""",""data"":{""src_ip"":""10.35.*.10"",""dst_ip"":""10.35.180.10/24"",""src_port"":"""",""dst_port"":"""",""start_time"":""2024-05-17 23:57:13.940"",""end_time"":""2024-05-17 23:57:35.806""},""labelled_by"":[[""auto-cidr"",""12/09/2024 8:00:00""]],""rejected_by"":[]}","{""id"":""ec988ba31e6c420ba6544640810511e7"",""technique"":""T1046: Network Service Discovery"",""event_uids"":[""62473-start""],""instance_name"":""aerien"",""explanation"":"""",""doubt"":false,""labelled_by"":[[""auto-triggers"",""12/09/2024 8:00:00""]],""rejected_by"":[]}",,,,"{""src_ip"":""10.35.*.10"",""dst_ip"":""10.35.180.10/24"",""src_port"":"""",""dst_port"":"""",""start_time"":""2024-05-17 23:57:13.940"",""end_time"":""2024-05-17 23:57:35.806""}","[{""row"":278731,""ts"":""2024-05-17T23:57:13.975000"",""src"":""10.35.180.10"",""dst"":""213.186.33.99"",""sp"":35189,""dp"":53},{""row"":278732,""ts"":""2024-05-17T23:57:13.976000"",""src"":""10.35.180.10"",""dst"":""213.186.33.99"",""sp"":35189,""dp"":53},{""row"":278733,""ts"":""2024-05-17T23:57:13.976000"",""src"":""10.35.180.10"",""dst"":""213.186.33.99"",""sp"":35189,""dp"":53}]",R5：自动规则未命中；异常诊断候选不得用于训练。,relation是否存在地址/时间/成员错误，还是确实无对应Flow？,,,,,
