parent_technique,name,raw_instance_support,reliable_instance_support,relation_instance_support,reliable_joined_instance_support,independent_participant_support,joined_relation_count,joined_flow_count,median_joined_flows_per_activity,observability_category,label_confidence,join_quality,single_flow_feasible,context_feasible,episode_feasible,known_train_candidate,heldout_candidate,fewshot_candidate,attribution_only,exclusion_reason
T1003,OS Credential Dumping,18,18,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1005,Data from Local System,16,16,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1006,Direct Volume Access,1,1,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1007,System Service Discovery,32,32,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1011,Exfiltration Over Other Network Medium,14,14,1,1,unavailable_in_public_metadata,1,2,2,C,non_doubt,low_or_sparse,partial,False,no,False,False,False,True,<10 reliable joined instances
T1016,System Network Configuration Discovery,49,49,12,7,unavailable_in_public_metadata,10,55,5,D,non_doubt,medium_auto_pending_manual,no,False,pending_manual_and_episode_gate,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances; low automatic join coverage
T1018,Remote System Discovery,54,54,32,7,unavailable_in_public_metadata,8,50,5,B,non_doubt,low_or_sparse,no,True,pending_manual_and_episode_gate,False,False,False,True,<10 reliable joined instances; low automatic join coverage
T1021,Remote Services,75,75,10,6,unavailable_in_public_metadata,9,56,7.5,C,non_doubt,medium_auto_pending_manual,partial,True,pending_manual_and_episode_gate,False,False,False,True,<10 reliable joined instances; low automatic join coverage
T1033,System Owner/User Discovery,106,106,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1040,Network Sniffing,9,9,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1041,Exfiltration Over C2 Channel,1,1,0,0,unavailable_in_public_metadata,0,0,0,C,non_doubt,unjoined,no,False,no,False,False,False,True,<10 reliable joined instances
T1046,Network Service Discovery,80,80,58,33,unavailable_in_public_metadata,149,55707,18,B,non_doubt,medium_auto_pending_manual,no,True,pending_manual_and_episode_gate,False,False,False,True,low automatic join coverage
T1049,System Network Connections Discovery,44,44,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1053,Scheduled Task/Job,6,6,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1057,Process Discovery,69,69,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1059,Command and Scripting Interpreter,9,9,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1068,Exploitation for Privilege Escalation,50,50,1,1,unavailable_in_public_metadata,1,5,5,D,non_doubt,low_or_sparse,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1069,Permission Groups Discovery,76,76,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1070,Indicator Removal,28,28,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1074,Data Staged,1,1,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1078,Valid Accounts,44,44,1,1,unavailable_in_public_metadata,1,228702,228702,D,non_doubt,low_or_sparse,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1082,System Information Discovery,66,66,39,36,unavailable_in_public_metadata,65,282,6.0,D,non_doubt,high_auto_pending_manual,no,False,pending_manual_and_episode_gate,False,False,False,True,Flow evidence insufficient
T1083,File and Directory Discovery,92,92,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1087,Account Discovery,11,11,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1098,Account Manipulation,16,16,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1102,Web Service,1,1,0,0,unavailable_in_public_metadata,0,0,0,C,non_doubt,unjoined,no,False,no,False,False,False,True,<10 reliable joined instances
T1105,Ingress Tool Transfer,73,73,5,5,unavailable_in_public_metadata,11,16,3,C,non_doubt,medium_auto_pending_manual,partial,True,pending_manual_and_episode_gate,False,False,False,True,<10 reliable joined instances
T1110,Brute Force,11,11,0,0,unavailable_in_public_metadata,0,0,0,B,non_doubt,unjoined,no,False,no,False,False,False,True,<10 reliable joined instances
T1114,Email Collection,47,47,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1120,Peripheral Device Discovery,1,1,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1124,System Time Discovery,3,3,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1125,Video Capture,40,40,7,6,unavailable_in_public_metadata,1309,10918,418.5,D,non_doubt,medium_auto_pending_manual,no,False,pending_manual_and_episode_gate,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1132,Data Encoding,6,6,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1133,External Remote Services,2,2,0,0,unavailable_in_public_metadata,0,0,0,C,non_doubt,unjoined,no,False,no,False,False,False,True,<10 reliable joined instances
T1136,Create Account,4,4,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1210,Exploitation of Remote Services,2,2,0,0,unavailable_in_public_metadata,0,0,0,C,non_doubt,unjoined,no,False,no,False,False,False,True,<10 reliable joined instances
T1213,Data from Information Repositories,1,1,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1219,Remote Access Tools,1,1,1,1,unavailable_in_public_metadata,1,3,3,C,non_doubt,low_or_sparse,partial,False,no,False,False,False,True,<10 reliable joined instances
