dataset_version,week,activity_id,activity_id_quality,parent_technique,flow_count,start_time,end_time,source_count,destination_count,mission_source,anchor_feasible,episode_feasible,shot_eligible,split_group
UWF-ZeekDataFall24-2,2024-10-27 - 2024-11-03,derived60:uwf_fall24_2_2024-10-27:T1018:143.88.5.14:1,heuristic_60s_source_cluster_not_mission_ground_truth,T1018,13306,2024-11-02T01:06:22.726381+00:00,2024-11-02T01:16:28.010109+00:00,1,4,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataFall24-2|2024-10-27 - 2024-11-03
UWF-ZeekDataFall24-2,2024-10-27 - 2024-11-03,derived60:uwf_fall24_2_2024-10-27:T1046:143.88.5.14:1,heuristic_60s_source_cluster_not_mission_ground_truth,T1046,9091,2024-11-02T01:00:49.976615+00:00,2024-11-02T01:06:22.758147+00:00,1,4,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataFall24-2|2024-10-27 - 2024-11-03
UWF-ZeekDataFall24-2,2024-10-27 - 2024-11-03,derived60:uwf_fall24_2_2024-10-27:T1210:143.88.11.11:1,heuristic_60s_source_cluster_not_mission_ground_truth,T1210,2,2024-10-31T00:07:56.158968+00:00,2024-10-31T00:08:10.978340+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataFall24-2|2024-10-27 - 2024-11-03
UWF-ZeekDataFall24-2,2024-10-27 - 2024-11-03,derived60:uwf_fall24_2_2024-10-27:T1210:143.88.5.14:1,heuristic_60s_source_cluster_not_mission_ground_truth,T1210,22,2024-11-02T01:31:48.599297+00:00,2024-11-02T01:32:00.256647+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataFall24-2|2024-10-27 - 2024-11-03
UWF-ZeekDataFall24-2,2024-10-27 - 2024-11-03,derived60:uwf_fall24_2_2024-10-27:T1595:143.88.10.11:1,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,12689,2024-10-31T16:17:18.727535+00:00,2024-10-31T16:22:51.509153+00:00,1,4,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataFall24-2|2024-10-27 - 2024-11-03
UWF-ZeekDataFall24-2,2024-10-27 - 2024-11-03,derived60:uwf_fall24_2_2024-10-27:T1595:143.88.10.11:2,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,6280,2024-10-31T16:52:06.727312+00:00,2024-10-31T16:56:08.758580+00:00,1,4,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataFall24-2|2024-10-27 - 2024-11-03
UWF-ZeekDataFall24-2,2024-10-27 - 2024-11-03,derived60:uwf_fall24_2_2024-10-27:T1595:143.88.10.11:3,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,6,2024-10-31T16:58:39.267676+00:00,2024-10-31T16:58:43.758558+00:00,1,4,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataFall24-2|2024-10-27 - 2024-11-03
UWF-ZeekDataFall24-2,2024-10-27 - 2024-11-03,derived60:uwf_fall24_2_2024-10-27:T1595:143.88.11.11:1,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,6546,2024-10-31T00:05:17.014291+00:00,2024-10-31T00:10:49.796047+00:00,1,4,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataFall24-2|2024-10-27 - 2024-11-03
UWF-ZeekDataFall24-2,2024-10-27 - 2024-11-03,derived60:uwf_fall24_2_2024-10-27:T1595:143.88.11.11:2,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,6261,2024-10-31T00:27:25.514065+00:00,2024-10-31T00:30:57.291312+00:00,1,4,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataFall24-2|2024-10-27 - 2024-11-03
UWF-ZeekDataFall24-2,2024-11-03 - 2024-11-10,derived60:uwf_fall24_2_2024-11-03:T1210:143.88.5.11:1,heuristic_60s_source_cluster_not_mission_ground_truth,T1210,5,2024-11-04T03:27:29.231800+00:00,2024-11-04T03:28:10.718897+00:00,1,4,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataFall24-2|2024-11-03 - 2024-11-10
